transaction_id,date,datetime,location_id,location_name,customer_id,customer_name,cashier_id,cashier_name,num_items,subtotal_usd,discount_usd,tax_usd,total_amount_usd,payment_method,loyalty_tier,items_purchased
TXN-E82C49C7EE,2025-02-17,2025-02-17 16:06:02,LOC001,Kantari,CUST0075,Ramzi Nasr,STF001,Ali Hassan,2,6.5,0.65,0.64,6.49,Credit Card,,Shawarma Chicken Wrap (x1) | Soft Drink Can (x1)
TXN-9D3C56B673,2025-02-17,2025-02-17 16:17:09,LOC001,Kantari,CUST0717,Maya Salem,STF003,Omar Nassif,2,9.5,0.48,0.99,10.01,Mobile Pay,Silver,Kafta Sandwich (x1) | Pickled Turnip Jar (x1)
TXN-11D7EBA302,2025-02-17,2025-02-17 17:50:04,LOC001,Kantari,CUST0554,Georges Zgheib,STF002,Sara Khalil,5,33.5,0.0,3.69,37.19,Cash,Silver,Arabic Coffee (x1) | Shawarma Chicken Wrap (x1) | Cheese Manakeesh (x1) | Olives Mix (250g) (x3) | Sambousek (4 pcs) (x1)
TXN-357229A2CE,2025-02-17,2025-02-17 21:05:53,LOC001,Kantari,CUST0471,Maya Khalil,STF003,Omar Nassif,1,4.5,0.0,0.49,4.99,Credit Card,Bronze,Mutabbal (x1)
TXN-E16451040B,2025-02-17,2025-02-17 16:57:06,LOC001,Kantari,CUST0646,Nour Saade,STF003,Omar Nassif,4,28.5,0.0,3.14,31.64,Credit Card,Silver,Falafel Sandwich (x3) | Falafel Plate (x1) | Mutabbal (x1) | Hummus (x2)
TXN-62A46A304A,2025-02-17,2025-02-17 14:53:51,LOC001,Kantari,CUST0461,Leen Aziz,STF001,Ali Hassan,1,3.0,0.0,0.33,3.33,Cash,Gold,Tamarind Juice (x1)
TXN-746B1E5462,2025-02-17,2025-02-17 18:42:33,LOC001,Kantari,CUST0470,Georges Salem,STF005,Karim Mrad,2,10.5,0.0,1.16,11.66,Cash,Gold,Olives Mix (250g) (x1) | Mutabbal (x1)
TXN-99185F5588,2025-02-17,2025-02-17 20:02:15,LOC001,Kantari,CUST0719,Rita Frem,STF002,Sara Khalil,3,12.5,0.62,1.31,13.19,Cash,Bronze,Soft Drink Can (x1) | Arabic Coffee (x2) | Fattoush (x1)
TXN-4CF5D83CB9,2025-02-17,2025-02-17 10:38:51,LOC001,Kantari,CUST0631,Hassan Feghali,STF002,Sara Khalil,1,30.0,1.5,3.14,31.64,Cash,,Mixed Grill Plate (x2)
TXN-2497F263B1,2025-02-17,2025-02-17 13:07:43,LOC001,Kantari,CUST0590,Maya Frem,STF005,Karim Mrad,4,19.0,0.0,2.09,21.09,Cash,,Tamarind Juice (x1) | Lemon Mint Juice (x1) | Zaatar Manakeesh (x1) | Chicken Tawook (x1)
TXN-A005ABD05A,2025-02-17,2025-02-17 13:59:37,LOC001,Kantari,CUST0042,Ali Bou Khalil,STF002,Sara Khalil,4,18.0,0.9,1.88,18.98,Cash,Silver,Baklava (3 pcs) (x1) | Lemon Mint Juice (x1) | Hummus (x1) | Shawarma Meat Wrap (x1)
TXN-1815E43963,2025-02-17,2025-02-17 13:51:50,LOC001,Kantari,CUST0792,Maria Aziz,STF004,Rima Aziz,1,6.5,0.0,0.71,7.21,Credit Card,,Knafeh (x1)
TXN-03BEEA59B1,2025-02-17,2025-02-17 20:39:44,LOC001,Kantari,CUST0039,Dina Feghali,STF005,Karim Mrad,2,15.0,0.0,1.65,16.65,Cash,Silver,Pickled Turnip Jar (x2) | Baklava (3 pcs) (x1)
TXN-8B8ED0CDE6,2025-02-17,2025-02-17 12:07:33,LOC001,Kantari,CUST0098,Rania Khoury,STF005,Karim Mrad,3,14.0,0.7,1.46,14.76,Cash,,Cheese Manakeesh (x1) | Shawarma Chicken (x1) | Lemon Mint Juice (x1)
TXN-676B1CB524,2025-02-17,2025-02-17 16:58:30,LOC001,Kantari,CUST0510,Maria Nassar,STF002,Sara Khalil,5,34.0,0.0,3.74,37.74,Cash,Silver,Tabbouleh (x2) | Sambousek (4 pcs) (x1) | Falafel Plate (x1) | Shawarma Meat (x1) | Baklava (3 pcs) (x1)
TXN-2EC866235A,2025-02-17,2025-02-17 09:32:07,LOC001,Kantari,CUST0073,Rania Tabbara,STF002,Sara Khalil,2,15.5,0.78,1.62,16.34,Debit Card,Silver,Chicken Tawook (x1) | Falafel Plate (x1)
TXN-4D8A6A93CE,2025-02-17,2025-02-17 12:06:15,LOC001,Kantari,CUST0756,Charbel Khoury,STF004,Rima Aziz,2,16.0,0.0,1.76,17.76,Debit Card,Bronze,Shawarma Chicken (x1) | Shawarma Chicken Wrap (x2)
TXN-2EB41B332A,2025-02-17,2025-02-17 20:29:11,LOC001,Kantari,CUST0397,Charbel Nassar,STF003,Omar Nassif,3,17.0,0.0,1.87,18.87,Cash,Silver,Knafeh (x1) | Zaatar Spice Mix (100g) (x1) | Falafel Plate (x1)
TXN-648649A424,2025-02-17,2025-02-17 18:29:26,LOC001,Kantari,CUST0176,Rita Frem,STF003,Omar Nassif,2,30.0,0.0,3.3,33.3,Cash,Silver,Kibbeh Nayeh (x3) | Tamarind Juice (x2)
TXN-021725DCD6,2025-02-17,2025-02-17 14:14:05,LOC001,Kantari,CUST0422,Hassan Tabbara,STF005,Karim Mrad,5,21.0,0.0,2.31,23.31,Credit Card,Silver,Zaatar Manakeesh (x1) | Lebanese Tea (x1) | Shawarma Meat (x1) | Ayran (x2) | Jallab (x1)
TXN-AFCD7E7C50,2025-02-17,2025-02-17 15:00:26,LOC001,Kantari,CUST0046,Tarek Abi Nader,STF001,Ali Hassan,3,17.5,0.0,1.93,19.43,Mobile Pay,,Shawarma Meat Wrap (x2) | Falafel Sandwich (x1) | Foul Mdammas (x1)
TXN-54EEFD105A,2025-02-17,2025-02-17 10:48:00,LOC001,Kantari,CUST0710,Mohamed Chidiac,STF004,Rima Aziz,1,9.0,0.0,0.99,9.99,Mobile Pay,,Kafta Grilled (x1)
TXN-B400FDF769,2025-02-17,2025-02-17 14:19:10,LOC001,Kantari,CUST0721,Ali Khoury,STF004,Rima Aziz,3,20.5,0.0,2.25,22.75,Debit Card,,Hummus (x2) | Shawarma Chicken Wrap (x1) | Lemon Mint Juice (x2)
TXN-10A1F6A393,2025-02-17,2025-02-17 14:40:00,LOC001,Kantari,CUST0643,Omar Frem,STF001,Ali Hassan,3,16.5,0.0,1.81,18.31,Cash,,Kafta Sandwich (x1) | Kafta Grilled (x1) | Jallab (x1)
TXN-62E0354BD9,2025-02-17,2025-02-17 16:39:56,LOC001,Kantari,CUST0344,Omar Aziz,STF001,Ali Hassan,4,23.0,0.0,2.53,25.53,Credit Card,,Sambousek (4 pcs) (x1) | Mutabbal (x1) | Foul Mdammas (x1) | Shawarma Chicken Wrap (x2)
TXN-80F65AB57F,2025-02-17,2025-02-17 17:08:21,LOC001,Kantari,CUST0245,Joelle Mrad,STF005,Karim Mrad,2,18.0,0.9,1.88,18.98,Cash,,Pickled Turnip Jar (x3) | Zaatar Manakeesh (x1)
TXN-6DD4879C6F,2025-02-17,2025-02-17 11:22:57,LOC001,Kantari,CUST0274,Sara Khalil,STF005,Karim Mrad,2,20.0,0.0,2.2,22.2,Credit Card,,Tabbouleh (x1) | Mixed Grill Plate (x1)
TXN-6543EF7C9E,2025-02-17,2025-02-17 16:43:52,LOC001,Kantari,CUST0546,Tony Harb,STF003,Omar Nassif,2,20.0,0.0,2.2,22.2,Credit Card,Gold,Maamoul (2 pcs) (x3) | Rice Pudding (x2)
TXN-692AF45565,2025-02-17,2025-02-17 19:05:05,LOC001,Kantari,CUST0401,Carla Haddad,STF002,Sara Khalil,5,32.5,0.0,3.58,36.08,Cash,Silver,Labneh (x1) | Shawarma Meat (x1) | Rice Pudding (x1) | Shawarma Meat Wrap (x3) | Still Water 500ml (x1)
TXN-9699C96247,2025-02-17,2025-02-17 13:28:47,LOC001,Kantari,CUST0661,Mira Mrad,STF001,Ali Hassan,1,1.5,0.15,0.15,1.5,Cash,Silver,Still Water 500ml (x1)
TXN-33DC46F7FF,2025-02-17,2025-02-17 16:26:37,LOC001,Kantari,CUST0352,Khalil Daher,STF003,Omar Nassif,3,16.0,0.8,1.67,16.87,Credit Card,,Kafta Sandwich (x1) | Cheese Manakeesh (x2) | Shawarma Chicken Wrap (x1)
TXN-BBF3BA6AE6,2025-02-17,2025-02-17 12:23:18,LOC001,Kantari,CUST0789,Fatima Daher,STF001,Ali Hassan,2,12.5,0.0,1.38,13.88,Cash,,Homemade Labneh Jar (x1) | Baklava (3 pcs) (x1)
TXN-6985EE79E5,2025-02-17,2025-02-17 11:45:44,LOC001,Kantari,CUST0683,Tarek Harb,STF002,Sara Khalil,1,8.0,0.0,0.88,8.88,Cash,Silver,Tahini Paste (500g) (x1)
TXN-A45612F311,2025-02-17,2025-02-17 13:13:35,LOC001,Kantari,CUST0725,Mohamed Farah,STF001,Ali Hassan,5,56.0,0.0,6.16,62.16,Credit Card,,Kibbeh Nayeh (x1) | Shawarma Chicken Wrap (x3) | Zaatar Spice Mix (100g) (x2) | Kafta Sandwich (x3) | Labneh (x3)
TXN-461386B3C4,2025-02-17,2025-02-17 21:34:32,LOC001,Kantari,CUST0340,Ramzi Feghali,STF003,Omar Nassif,2,9.5,0.0,1.04,10.54,Credit Card,Bronze,Pickled Turnip Jar (x1) | Zaatar Spice Mix (100g) (x1)
TXN-59B01463D7,2025-02-17,2025-02-17 20:28:21,LOC001,Kantari,CUST0706,Maya Zgheib,STF001,Ali Hassan,4,29.0,0.0,3.19,32.19,Debit Card,,Warak Arish (Stuffed Vine Leaves) (x2) | Cheese Manakeesh (x1) | Chicken Tawook (x1) | Falafel Sandwich (x1)
TXN-D500787FE8,2025-02-17,2025-02-17 15:14:50,LOC001,Kantari,CUST0786,Joelle Khalil,STF003,Omar Nassif,1,2.0,0.2,0.2,2.0,Cash,,Lebanese Tea (x1)
TXN-7EA6DFA4DC,2025-02-17,2025-02-17 21:25:12,LOC001,Kantari,CUST0503,Joelle Salem,STF003,Omar Nassif,2,13.0,0.0,1.43,14.43,Credit Card,,Tabbouleh (x1) | Maamoul (2 pcs) (x2)
TXN-10CAA30F4A,2025-02-17,2025-02-17 13:00:18,LOC001,Kantari,CUST0354,Dina Khoury,STF003,Omar Nassif,2,21.0,0.0,2.31,23.31,Cash,Bronze,Cheese Manakeesh (x2) | Shawarma Chicken (x2)
TXN-F6F515ABDB,2025-02-17,2025-02-17 13:10:51,LOC001,Kantari,CUST0746,Mohamed Khoury,STF004,Rima Aziz,2,5.0,0.5,0.49,4.99,Debit Card,Gold,Lebanese Tea (x1) | Zaatar Manakeesh (x1)
TXN-76D41FF133,2025-02-17,2025-02-17 14:21:04,LOC001,Kantari,CUST0605,Ramzi Zgheib,STF004,Rima Aziz,2,8.0,0.4,0.84,8.44,Cash,Gold,Soft Drink Can (x1) | Falafel Sandwich (x2)
TXN-AA6F54401E,2025-02-17,2025-02-17 10:11:53,LOC001,Kantari,CUST0391,Pierre Harb,STF003,Omar Nassif,1,5.0,0.0,0.55,5.55,Credit Card,,Arabic Coffee (x2)
TXN-55292C3640,2025-02-17,2025-02-17 15:29:14,LOC001,Kantari,CUST0028,Ali Zgheib,STF001,Ali Hassan,2,13.0,0.0,1.43,14.43,Cash,,Knafeh (x1) | Knafeh (x1)
TXN-23F40E2F16,2025-02-17,2025-02-17 11:58:44,LOC001,Kantari,CUST0661,Mira Mrad,STF002,Sara Khalil,3,12.5,0.0,1.38,13.88,Cash,Silver,Shawarma Meat Wrap (x1) | Zaatar Spice Mix (100g) (x1) | Zaatar Manakeesh (x1)
TXN-35AA825C98,2025-02-17,2025-02-17 16:44:52,LOC001,Kantari,CUST0123,Joelle Gemayel,STF003,Omar Nassif,2,7.5,0.38,0.78,7.9,Credit Card,Bronze,Lebanese Tea (x1) | Shanklish Salad (x1)
TXN-2835D9D7E4,2025-02-17,2025-02-17 10:10:03,LOC001,Kantari,CUST0280,Leen Daher,STF003,Omar Nassif,4,32.5,1.62,3.4,34.28,Credit Card,Silver,Sambousek (4 pcs) (x1) | Kafta Grilled (x2) | Kafta Sandwich (x1) | Pickled Turnip Jar (x1)
TXN-280319DC89,2025-02-17,2025-02-17 14:55:20,LOC001,Kantari,CUST0702,Georges Nassar,STF003,Omar Nassif,3,24.5,1.23,2.56,25.83,Cash,Bronze,Sambousek (4 pcs) (x1) | Kafta Sandwich (x1) | Mixed Grill Plate (x1)
TXN-B2FE397E22,2025-02-17,2025-02-17 13:58:58,LOC001,Kantari,CUST0167,Sami Khalil,STF001,Ali Hassan,2,5.0,0.5,0.49,4.99,Cash,,Lebanese Tea (x1) | Tamarind Juice (x1)
TXN-D625344CAD,2025-02-17,2025-02-17 18:45:35,LOC001,Kantari,CUST0720,Nadine Haddad,STF001,Ali Hassan,4,60.0,0.0,6.6,66.6,Credit Card,Silver,Labneh (x1) | Warak Arish (Stuffed Vine Leaves) (x1) | Hummus (x1) | Mixed Grill Plate (x3)
TXN-CDF93A3EF4,2025-02-17,2025-02-17 21:11:45,LOC001,Kantari,CUST0312,Dina Zgheib,STF001,Ali Hassan,1,6.5,0.0,0.71,7.21,Debit Card,Gold,Warak Arish (Stuffed Vine Leaves) (x1)
TXN-9408F2D0A9,2025-02-17,2025-02-17 12:13:08,LOC001,Kantari,CUST0081,Pierre Saade,STF004,Rima Aziz,3,14.5,0.0,1.59,16.09,Credit Card,,Tabbouleh (x1) | Lemon Mint Juice (x1) | Jallab (x2)
TXN-612715B150,2025-02-17,2025-02-17 09:07:58,LOC001,Kantari,CUST0260,Hassan Daher,STF001,Ali Hassan,3,16.0,0.0,1.76,17.76,Cash,Silver,Jallab (x1) | Lemon Mint Juice (x2) | Olives Mix (250g) (x1)
TXN-2030B066EA,2025-02-17,2025-02-17 10:54:47,LOC001,Kantari,CUST0285,Ali Zgheib,STF005,Karim Mrad,1,10.0,0.0,1.1,11.1,Cash,Silver,Shawarma Meat Wrap (x2)
TXN-720E971358,2025-02-17,2025-02-17 15:06:52,LOC001,Kantari,CUST0593,Carla Nasr,STF001,Ali Hassan,3,27.5,2.75,2.72,27.47,Credit Card,,Homemade Labneh Jar (x1) | Shanklish Salad (x2) | Jallab (x3)
TXN-42489415D3,2025-02-17,2025-02-17 18:30:23,LOC001,Kantari,CUST0715,Carla Chidiac,STF005,Karim Mrad,3,10.5,0.53,1.1,11.07,Cash,Silver,Labneh (x1) | Lebanese Tea (x1) | Zaatar Spice Mix (100g) (x1)
TXN-280FD2247A,2025-02-17,2025-02-17 12:29:07,LOC001,Kantari,CUST0533,Rania Gemayel,STF002,Sara Khalil,2,11.5,0.0,1.26,12.76,Credit Card,,Kafta Grilled (x1) | Ayran (x1)
TXN-74ED059A07,2025-02-17,2025-02-17 14:47:19,LOC001,Kantari,CUST0704,Youssef Harb,STF004,Rima Aziz,2,22.0,1.1,2.3,23.2,Cash,,Tahini Paste (500g) (x2) | Falafel Sandwich (x2)
TXN-5E11EC9DC0,2025-02-17,2025-02-17 20:23:11,LOC001,Kantari,CUST0014,Omar Feghali,STF004,Rima Aziz,2,9.0,0.0,0.99,9.99,Credit Card,Silver,Kafta Sandwich (x1) | Ashta Cream (x1)
TXN-3CF9A03E28,2025-02-17,2025-02-17 21:47:59,LOC001,Kantari,CUST0173,Nadine Abi Nader,STF001,Ali Hassan,1,12.0,0.0,1.32,13.32,Cash,Bronze,Falafel Plate (x2)
TXN-975268191F,2025-02-17,2025-02-17 12:27:46,LOC001,Kantari,CUST0512,Ali Harb,STF003,Omar Nassif,3,15.0,1.5,1.49,14.99,Debit Card,,Zaatar Manakeesh (x3) | Jallab (x1) | Tamarind Juice (x1)
TXN-2395E0E485,2025-02-17,2025-02-17 22:32:17,LOC001,Kantari,CUST0151,Carla Zgheib,STF004,Rima Aziz,2,10.0,0.0,1.1,11.1,Cash,Bronze,Shawarma Meat Wrap (x1) | Baklava (3 pcs) (x1)
TXN-688512C342,2025-02-17,2025-02-17 09:43:01,LOC001,Kantari,CUST0184,Dina Tabbara,STF004,Rima Aziz,2,23.0,0.0,2.53,25.53,Credit Card,,Kafta Grilled (x2) | Baklava (3 pcs) (x1)
TXN-FDECFDE5A3,2025-02-17,2025-02-17 14:29:12,LOC001,Kantari,CUST0301,Maya Chidiac,STF004,Rima Aziz,2,19.5,0.0,2.15,21.65,Credit Card,,Mixed Grill Plate (x1) | Still Water 500ml (x3)
TXN-9A5335BE85,2025-02-17,2025-02-17 13:58:07,LOC001,Kantari,CUST0393,Ali Feghali,STF004,Rima Aziz,2,13.5,0.0,1.49,14.99,Cash,,Shawarma Chicken Wrap (x1) | Mutabbal (x2)
TXN-85EB003A48,2025-02-17,2025-02-17 16:31:27,LOC001,Kantari,CUST0138,Dina Nassar,STF003,Omar Nassif,2,8.0,0.0,0.88,8.88,Debit Card,,Labneh (x1) | Maamoul (2 pcs) (x1)
TXN-8C37A4B577,2025-02-17,2025-02-17 14:54:10,LOC001,Kantari,CUST0519,Tarek Frem,STF001,Ali Hassan,2,19.5,0.0,2.15,21.65,Cash,Bronze,Zaatar Spice Mix (100g) (x1) | Baklava (3 pcs) (x3)
TXN-7BE6826B95,2025-02-17,2025-02-17 09:02:08,LOC001,Kantari,CUST0376,Nour Mrad,STF003,Omar Nassif,2,8.5,0.85,0.84,8.49,Debit Card,,Lemon Mint Juice (x1) | Baklava (3 pcs) (x1)
TXN-B4730081F4,2025-02-17,2025-02-17 13:03:42,LOC001,Kantari,CUST0251,Sami Feghali,STF002,Sara Khalil,2,15.5,0.0,1.71,17.21,Cash,Bronze,Fattoush (x2) | Ashta Cream (x1)
TXN-051E0CCA3D,2025-02-17,2025-02-17 14:02:29,LOC001,Kantari,CUST0674,Hassan Bou Khalil,STF004,Rima Aziz,4,31.0,0.0,3.41,34.41,Credit Card,Gold,Shawarma Meat (x1) | Rice Pudding (x1) | Zaatar Manakeesh (x1) | Tahini Paste (500g) (x2)
TXN-79985DF30D,2025-02-17,2025-02-17 16:21:31,LOC001,Kantari,CUST0515,Omar Frem,STF003,Omar Nassif,2,25.5,0.0,2.81,28.31,Cash,Bronze,Homemade Labneh Jar (x1) | Falafel Plate (x3)
TXN-F3D284DDF5,2025-02-17,2025-02-17 18:13:18,LOC001,Kantari,CUST0272,Rita Frem,STF001,Ali Hassan,2,17.5,0.0,1.93,19.43,Cash,,Arabic Coffee (x3) | Baklava (3 pcs) (x2)
TXN-A3826B5F2F,2025-02-17,2025-02-17 15:17:04,LOC001,Kantari,CUST0581,Nadine Haddad,STF005,Karim Mrad,1,3.0,0.0,0.33,3.33,Credit Card,Bronze,Tamarind Juice (x1)
TXN-7E466B7A9C,2025-02-17,2025-02-17 18:27:42,LOC001,Kantari,CUST0553,Nadine Gemayel,STF003,Omar Nassif,2,14.5,0.0,1.59,16.09,Cash,,Baklava (3 pcs) (x2) | Shawarma Chicken Wrap (x1)
TXN-323645C3EF,2025-02-17,2025-02-17 16:55:11,LOC001,Kantari,CUST0591,Mira Aziz,STF004,Rima Aziz,5,25.0,0.0,2.75,27.75,Cash,Bronze,Jallab (x2) | Shawarma Chicken Wrap (x1) | Pickled Turnip Jar (x1) | Kafta Sandwich (x1) | Baklava (3 pcs) (x1)
TXN-E67857A21A,2025-02-17,2025-02-17 11:09:47,LOC001,Kantari,CUST0702,Georges Nassar,STF003,Omar Nassif,2,5.5,0.0,0.6,6.1,Debit Card,Bronze,Still Water 500ml (x1) | Soft Drink Can (x2)
TXN-3C6E4AD931,2025-02-17,2025-02-17 12:10:16,LOC001,Kantari,CUST0704,Youssef Harb,STF005,Karim Mrad,1,8.0,0.4,0.84,8.44,Cash,,Kibbeh Nayeh (x1)
TXN-8AC847B71E,2025-02-17,2025-02-17 12:31:35,LOC001,Kantari,CUST0447,Fatima Farah,STF004,Rima Aziz,1,8.0,0.0,0.88,8.88,Credit Card,Silver,Kibbeh Nayeh (x1)
TXN-A407336183,2025-02-17,2025-02-17 18:42:35,LOC001,Kantari,CUST0181,Ali Saade,STF001,Ali Hassan,2,6.0,0.3,0.63,6.33,Mobile Pay,Gold,Hummus (x1) | Still Water 500ml (x1)
TXN-3F692345FA,2025-02-17,2025-02-17 19:26:57,LOC001,Kantari,CUST0373,Tarek Abi Nader,STF001,Ali Hassan,4,22.5,0.0,2.48,24.98,Cash,,Lebanese Tea (x1) | Shawarma Chicken (x1) | Cheese Manakeesh (x1) | Shawarma Meat Wrap (x2)
TXN-181D5D5ECE,2025-02-17,2025-02-17 14:05:15,LOC001,Kantari,CUST0615,Hana Saade,STF001,Ali Hassan,2,10.0,1.0,0.99,9.99,Debit Card,,Lebanese Tea (x2) | Jallab (x2)
TXN-8C7D4950E0,2025-02-17,2025-02-17 11:06:11,LOC001,Kantari,CUST0220,Ramzi Chidiac,STF003,Omar Nassif,2,18.0,0.0,1.98,19.98,Credit Card,Silver,Zaatar Manakeesh (x1) | Shawarma Meat Wrap (x3)
TXN-8206EAEBA0,2025-02-17,2025-02-17 13:43:15,LOC001,Kantari,CUST0285,Ali Zgheib,STF002,Sara Khalil,3,19.0,1.9,1.88,18.98,Cash,Silver,Arabic Coffee (x1) | Hummus (x2) | Homemade Labneh Jar (x1)
TXN-2AB89522FA,2025-02-17,2025-02-17 16:50:42,LOC001,Kantari,CUST0246,Tony Frem,STF003,Omar Nassif,2,20.0,1.0,2.09,21.09,Credit Card,,Homemade Labneh Jar (x2) | Sambousek (4 pcs) (x1)
TXN-FD1030428D,2025-02-17,2025-02-17 19:24:00,LOC001,Kantari,CUST0403,Tony Aziz,STF003,Omar Nassif,5,41.5,0.0,4.57,46.07,Cash,Bronze,Jallab (x1) | Kafta Grilled (x2) | Still Water 500ml (x1) | Kibbeh Nayeh (x2) | Falafel Sandwich (x1)
TXN-92FAC40728,2025-02-17,2025-02-17 17:31:30,LOC001,Kantari,CUST0755,Carla Khoury,STF004,Rima Aziz,2,9.0,0.0,0.99,9.99,Mobile Pay,Silver,Falafel Sandwich (x1) | Olives Mix (250g) (x1)
